strategy,image_path,split,temperature_c,temperature_bin,quality_flag,source_manifest,source_width,source_height,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,center_x_224,center_y_224,tip_x_224,tip_y_224,preprocessing_mode,resize_method,channel_strategy,normalization,source_kind,jitter_seed
identity,ml/data/raw/PXL_20260125_114517176.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,0,1004,3348,4267,3348,3263,112.43488649940264,118.33625498007969,50.4863082437276,156.01878026356113,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114517176.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,0,1004,3348,4267,3348,3263,112.43488649940264,118.33625498007969,50.4863082437276,156.01878026356113,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,2029167940
identity,ml/data/raw/PXL_20260125_114524322.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,903,838,3269,3590,2366,2752,93.03100591715977,112.30523255813954,35.816331360946734,141.1875581395349,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114524322.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,926,847,3255,3574,2329,2727,92.29684843280378,112.59552621928859,34.17322455989695,141.74263292995965,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1342382291
identity,ml/data/raw/PXL_20260125_114532964.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,316,1031,3005,3642,2689,2611,111.3569059129788,121.31431635388742,48.08211230940871,152.7077747989276,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114532964.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,284,997,3036,3677,2752,2680,111.41232558139534,121.03271641791046,49.58604651162791,151.61791044776118,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1469265225
identity,ml/data/raw/PXL_20260125_114538442.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,458,578,2946,3774,2488,3196,90.59665594855306,114.14888610763452,37.1859807073955,139.7960450563204,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114538442.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,448,579,2947,3760,2499,3181,91.09422969187675,114.61673687519647,37.91865546218487,140.3848349575605,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1926751965
identity,ml/data/raw/PXL_20260125_114540819.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,82,463,2881,3433,2799,2970,125.26393712040013,119.80002693602694,55.158099321186135,161.19779124579125,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114540819.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,75,448,2881,3449,2806,3001,125.51024946543122,119.68213262245919,55.57930149679259,160.65226257914028,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1241873584
identity,ml/data/raw/PXL_20260125_114541776.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,144,462,2767,3396,2623,2934,126.00619138391156,118.38331288343556,58.77203202439954,159.86606680299934,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114541776.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,151,478,2765,3379,2614,2901,125.84018362662584,118.49453291968285,58.37453710788065,160.44916925198208,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1665772334
identity,ml/data/raw/PXL_20260125_114543193.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,91,578,2875,3293,2784,2715,120.6735632183908,111.64523020257826,52.70919540229885,150.158379373849,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114543193.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,82,574,2893,3294,2811,2720,120.23166133048736,111.76941176470588,52.92009960868018,150.21176470588233,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1790251936
identity,ml/data/raw/PXL_20260125_114544203.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,0,705,2662,3317,2662,2612,115.73613824192337,106.8030627871363,45.45634861006762,145.1883614088821,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114544203.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,7,713,2660,3310,2653,2597,115.5377308707124,106.72991913746633,45.019525065963066,145.33692722371967,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,483628757
identity,ml/data/raw/PXL_20260125_114546762.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,187,340,2909,3762,2722,3422,118.67391623806023,130.79322033898305,46.79147685525349,160.40677966101694,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114546762.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,167,326,2922,3775,2755,3449,118.87854809437385,130.6785734995651,47.85713248638838,160.06030733545956,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,119253154
identity,ml/data/raw/PXL_20260125_114548536.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,463,391,2573,3032,2110,2641,117.69023696682464,127.38568723968194,40.21383886255924,158.45391897008707,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114548536.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,495,424,2534,3002,2039,2578,118.27287886218733,127.63134212567883,38.09867582148111,159.45880527540726,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,644602188
identity,ml/data/raw/PXL_20260125_114549307.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,455,326,2491,3133,2036,2807,119.69037328094305,129.62793017456357,36.757563850687625,160.0,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114549307.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,480,357,2455,3101,1975,2744,120.55169620253166,130.0734693877551,35.05741772151899,161.14285714285714,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,612176793
identity,ml/data/raw/PXL_20260125_114552322.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,317,505,2855,3439,2538,2934,114.95665878644603,99.38759372869802,33.22048857368006,132.46080436264486,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114552322.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,266,465,2899,3480,2633,3015,115.14774022028104,99.68928689883913,36.36065324724648,131.87396351575455,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1875941738
identity,ml/data/raw/PXL_20260125_114554365.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,498,565,2936,3515,2438,2950,114.03970467596389,98.65111864406781,30.705824446267435,130.82359322033898,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114554365.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,524,600,2913,3479,2389,2879,113.94089577228966,98.3608197290726,28.897781498534954,131.3267106634248,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1959843383
identity,ml/data/raw/PXL_20260125_114556873.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,50,736,2822,4305,2772,3569,90.85252525252524,108.96228635472121,37.292929292929294,137.65738302045392,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114556873.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,37,711,2832,4335,2795,3624,91.14676207513418,108.85386313465783,38.027906976744184,137.11346578366448,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,11307154
identity,ml/data/raw/PXL_20260125_114611913.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,84,700,3434,4080,3350,3380,118.99414925373134,111.73491124260354,50.02889552238806,150.9150295857988,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114611913.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,102,716,3411,4057,3309,3341,119.25004533091567,111.96647710266387,49.43028105167725,151.6039509129003,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1073283950
identity,ml/data/raw/PXL_20260125_114631441.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,31,514,3383,3879,3352,3365,115.7489260143198,115.6878454680535,52.89928400954654,157.91167904903418,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114631441.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,50,544,3355,3838,3305,3294,116.10723146747353,116.14134790528233,52.363812405446296,159.27528840315725,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1763574598
identity,ml/data/raw/PXL_20260125_114637155.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,274,920,3197,3853,2923,2933,115.21861101607936,111.22863961813843,50.47854943551147,152.72171837708828,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114637155.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,265,923,3195,3851,2930,2928,115.63139931740614,111.18907103825137,51.04600682593857,152.75300546448085,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,282266798
identity,ml/data/raw/PXL_20260125_114642671.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,48,1028,3218,4089,3170,3061,113.75242902208201,96.92518784710879,47.29438485804416,137.38569095066973,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114642671.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,83,1061,3172,4049,3089,2988,114.1972159274846,96.81927710843374,45.99650372288767,138.26827309236947,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1711693563
identity,ml/data/raw/PXL_20260125_114751509.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,60,958,3042,3924,2982,2966,111.39154929577465,109.65124747134188,53.33333333333333,159.36021577882667,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114751509.jpg,train,-29.0,cold,clean,gauge_1_batch_1.zip,3472,4624,66,958,3029,3917,2963,2959,111.65224434694566,109.91064548834066,53.221734728315894,159.73720851639067,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,255728784
identity,ml/data/raw/PXL_20260125_114841596.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,131,767,3433,4072,3302,3305,114.61853422168382,113.6198487140696,37.826287098728045,112.81331316187595,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114841596.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,121,751,3450,4093,3329,3342,114.36179032742565,113.43435068821066,38.19237008110544,112.63674446439258,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1004882659
identity,ml/data/raw/PXL_20260125_114842502.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,360,1187,3318,4120,2958,2933,113.8628803245436,107.28782816229119,36.48519269776876,102.72076372315036,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114842502.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,388,1219,3293,4081,2905,2862,113.78120481927711,107.4448637316562,34.99180722891566,102.764500349406,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,1753345571
identity,ml/data/raw/PXL_20260125_114843309.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,73,1007,3205,4044,3132,3037,113.68786717752235,100.64879815607506,37.18314176245211,101.53388212051367,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114843309.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,108,1042,3175,4010,3067,2968,113.54104988588198,100.34716981132074,35.41493315943919,101.25283018867924,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,650757180
identity,ml/data/raw/PXL_20260125_114844155.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,212,1027,3017,4025,2805,2998,115.45782531194294,98.31941294196132,34.61818181818182,98.85737158105404,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114844155.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,198,1015,3026,4046,2828,3031,115.62772277227722,98.13579676674365,35.445544554455445,98.66789838337182,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,733587778
identity,ml/data/raw/PXL_20260125_114845174.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,0,760,3037,4054,3037,3294,123.69048403029306,109.59271402550091,39.14283832729668,114.31888281724346,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,
mild_jitter,ml/data/raw/PXL_20260125_114845174.jpg,train,-17.5,cold,clean,gauge_1_batch_1.zip,3472,4624,40,789,2996,4028,2956,3239,124.04871447902572,109.44810126582279,37.18430311231394,114.25452300092621,python_training_rgb_bilinear,bilinear,rgb,uint8_to_float32_0_1,rgb,597914448
