filename,cx,cy,cx_norm,cy_norm
capture_2026-04-03_11-44-35.png,108.1,94.9,0.4825,0.4235
capture_2026-04-09_06-28-44.png,111.0,96.8,0.4956,0.4323
capture_2026-04-15_11-54-49.png,113.0,89.0,0.5044,0.3972
capture_2026-04-18_17-26-51.png,117.9,125.3,0.5263,0.5595
capture_2026-04-19_13-05-42.png,118.9,129.3,0.5307,0.5770
capture_2026-04-19_13-14-12.png,117.9,130.2,0.5263,0.5814
capture_2026-04-19_13-22-41.png,116.9,129.3,0.5219,0.5770
capture_2026-04-19_13-42-07.png,119.9,131.2,0.5351,0.5858
capture_2026-04-19_16-46-57.png,117.9,131.2,0.5263,0.5858
capture_2026-04-19_17-02-46.png,117.9,132.2,0.5263,0.5902
capture_2026-04-19_18-43-21.png,117.9,131.2,0.5263,0.5858
capture_2026-04-19_18-44-34.png,117.9,130.2,0.5263,0.5814
capture_2026-04-19_18-54-51.png,115.9,104.7,0.5175,0.4674
capture_2026-04-19_19-09-07.png,119.9,119.4,0.5351,0.5332
capture_2026-04-19_19-10-20.png,119.9,118.4,0.5351,0.5288
capture_2026-04-20_16-02-50.png,126.7,104.7,0.5658,0.4674
capture_2026-04-22_07-16-50.png,112.0,106.7,0.5000,0.4762
capture_2026-04-22_07-21-44.png,111.0,105.7,0.4956,0.4718
capture_2026-04-22_07-33-19.png,111.0,108.6,0.4956,0.4849
capture_2026-04-22_07-41-14.png,111.0,108.6,0.4956,0.4849
capture_2026-04-24_22-25-14.png,111.0,111.6,0.4956,0.4981
capture_2026-04-30_07-00-09.png,114.9,86.0,0.5132,0.3840
capture_2026-04-30_13-08-26.png,124.8,101.7,0.5570,0.4542
capture_2026-04-30_14-05-09.png,107.1,103.7,0.4781,0.4630
capture_2026-04-30_14-05-49.png,106.1,102.7,0.4737,0.4586
capture_2026-04-30_19-02-45.png,123.8,113.5,0.5526,0.5069
capture_2026-04-30_20-09-44.png,102.2,101.7,0.4561,0.4542
capture_2026-04-30_20-10-56.png,102.2,99.8,0.4561,0.4454
capture_2026-04-30_20-12-09.png,102.2,100.8,0.4561,0.4498
capture_2026-05-27_06-20-11.png,117.9,111.6,0.5263,0.4981
