image_path,center_x,center_y,outer_radius,inner_radius
capture_2026-06-07_10-36-02.yuv422,153.7,132.4,115.0,85.0
capture_2026-06-07_10-37-41.yuv422,156.2,131.1,115.0,85.0
capture_2026-06-07_10-39-21.yuv422,158.6,126.3,115.0,85.0
capture_2026-06-07_10-41-01.yuv422,155.2,128.6,115.0,85.0
capture_2026-06-07_10-42-41.yuv422,150.7,132.9,115.0,85.0
capture_2026-06-07_10-44-20.yuv422,165.3,126.4,115.0,85.0
capture_2026-06-07_10-46-16.yuv422,162.4,126.5,115.0,85.0
capture_2026-06-07_10-47-56.yuv422,158.9,127.1,115.0,85.0
capture_2026-06-07_10-49-36.yuv422,160.5,125.2,115.0,85.0
capture_2026-06-07_10-51-16.yuv422,159.1,126.2,115.0,85.0
capture_2026-06-07_10-52-55.yuv422,158.1,127.5,115.0,85.0
capture_2026-06-07_10-54-35.yuv422,155.9,128.5,115.0,85.0
capture_2026-06-07_10-56-15.yuv422,153.9,129.6,115.0,85.0
capture_2026-06-07_10-57-55.yuv422,155.0,129.9,115.0,85.0
capture_2026-06-07_11-00-00.yuv422,155.9,127.9,115.0,85.0
capture_2026-06-07_11-01-40.yuv422,155.5,128.2,115.0,85.0
capture_2026-06-07_11-03-20.yuv422,155.4,128.5,115.0,85.0
capture_2026-06-07_11-05-00.yuv422,156.5,127.8,115.0,85.0
capture_2026-06-07_11-06-40.yuv422,155.4,128.3,115.0,85.0
capture_2026-06-07_11-08-20.yuv422,153.5,129.0,115.0,85.0
capture_2026-06-07_11-09-59.yuv422,150.7,133.9,115.0,85.0
capture_2026-06-07_11-12-03.yuv422,150.3,136.9,115.0,85.0
capture_2026-06-07_11-13-43.yuv422,150.4,139.6,115.0,85.0
capture_2026-06-07_11-15-23.yuv422,151.3,137.9,115.0,85.0
capture_2026-06-07_11-17-03.yuv422,151.4,135.3,115.0,85.0
capture_2026-06-07_11-18-44.yuv422,151.5,140.1,115.0,85.0
capture_2026-06-07_11-20-25.yuv422,162.0,125.5,115.0,85.0
capture_2026-06-07_11-22-05.yuv422,161.9,128.9,115.0,85.0
capture_2026-06-07_11-23-48.yuv422,161.7,126.3,115.0,85.0
capture_2026-06-07_11-25-28.yuv422,161.1,126.9,115.0,85.0
capture_2026-06-07_11-27-08.yuv422,161.4,130.1,115.0,85.0
capture_2026-06-07_11-28-47.yuv422,161.7,128.1,115.0,85.0
capture_2026-06-07_11-30-27.yuv422,161.8,128.8,115.0,85.0
capture_2026-06-07_11-32-07.yuv422,161.3,128.1,115.0,85.0
capture_2026-06-07_11-33-47.yuv422,161.6,127.0,115.0,85.0
capture_2026-06-07_11-35-48.yuv422,161.2,125.9,115.0,85.0
capture_2026-06-07_11-37-28.yuv422,160.5,125.0,115.0,85.0
capture_2026-06-07_11-39-08.yuv422,160.7,124.1,115.0,85.0
capture_2026-06-07_11-40-48.yuv422,160.0,124.2,115.0,85.0
capture_2026-06-07_11-42-28.yuv422,160.7,123.8,115.0,85.0
capture_2026-06-07_11-44-08.yuv422,161.0,122.6,115.0,85.0
capture_2026-06-07_11-45-48.yuv422,162.0,124.2,115.0,85.0
capture_2026-06-07_11-47-28.yuv422,160.6,123.3,115.0,85.0
capture_2026-06-07_11-49-33.yuv422,158.4,123.8,115.0,85.0
capture_2026-06-07_11-51-13.yuv422,157.4,126.1,115.0,85.0
capture_2026-06-07_11-52-53.yuv422,155.5,126.6,115.0,85.0
capture_2026-06-07_11-54-33.yuv422,154.7,127.0,115.0,85.0
capture_2026-06-07_11-56-13.yuv422,150.1,134.3,115.0,85.0
capture_2026-06-07_11-57-53.yuv422,152.5,129.6,115.0,85.0
capture_2026-06-07_11-59-59.yuv422,151.6,132.9,115.0,85.0
capture_2026-06-07_12-01-38.yuv422,152.2,136.6,115.0,85.0
capture_2026-06-07_12-03-19.yuv422,153.2,135.6,115.0,85.0
capture_2026-06-07_12-04-59.yuv422,152.1,139.0,115.0,85.0
capture_2026-06-07_12-06-39.yuv422,158.1,126.4,115.0,85.0
capture_2026-06-07_12-08-19.yuv422,158.9,125.6,115.0,85.0
capture_2026-06-07_12-09-59.yuv422,159.5,125.5,115.0,85.0
capture_2026-06-07_12-11-39.yuv422,158.8,125.4,115.0,85.0
capture_2026-06-07_12-13-45.yuv422,157.9,124.7,115.0,85.0
capture_2026-06-07_12-15-25.yuv422,159.2,125.7,115.0,85.0
capture_2026-06-07_12-17-05.yuv422,161.8,127.2,115.0,85.0
capture_2026-06-07_12-18-45.yuv422,161.9,129.3,115.0,85.0
capture_2026-06-07_12-20-25.yuv422,161.3,129.8,115.0,85.0
capture_2026-06-07_12-22-05.yuv422,159.0,125.9,115.0,85.0
capture_2026-06-07_12-23-45.yuv422,159.8,125.2,115.0,85.0
capture_2026-06-07_12-25-30.yuv422,159.6,126.1,115.0,85.0
capture_2026-06-07_12-27-10.yuv422,159.8,125.7,115.0,85.0
capture_2026-06-07_12-28-50.yuv422,160.4,125.9,115.0,85.0
capture_2026-06-07_12-30-30.yuv422,158.8,125.1,115.0,85.0
capture_2026-06-07_12-32-10.yuv422,159.9,126.2,115.0,85.0
capture_2026-06-07_12-33-50.yuv422,160.1,127.0,115.0,85.0
capture_2026-06-07_12-35-30.yuv422,159.5,124.7,115.0,85.0
capture_2026-06-07_12-37-12.yuv422,163.6,127.5,115.0,85.0
capture_2026-06-07_12-39-18.yuv422,163.1,129.4,115.0,85.0
capture_2026-06-07_12-40-58.yuv422,163.3,126.6,115.0,85.0
capture_2026-06-07_12-42-38.yuv422,161.6,133.9,115.0,85.0
capture_2026-06-07_12-44-18.yuv422,161.0,134.3,115.0,85.0
capture_2026-06-07_12-45-58.yuv422,160.6,135.1,115.0,85.0
capture_2026-06-07_12-47-38.yuv422,160.3,135.3,115.0,85.0
capture_2026-06-07_12-49-31.yuv422,163.8,128.8,115.0,85.0
capture_2026-06-07_12-51-11.yuv422,163.9,128.4,115.0,85.0
capture_2026-06-07_12-52-51.yuv422,163.9,128.9,115.0,85.0
capture_2026-06-07_12-54-31.yuv422,165.1,125.8,115.0,85.0
capture_2026-06-07_12-56-11.yuv422,165.1,126.7,115.0,85.0
capture_2026-06-07_12-59-59.yuv422,156.1,122.4,115.0,85.0
capture_2026-06-07_13-02-04.yuv422,157.3,122.9,115.0,85.0
capture_2026-06-07_14-17-03.yuv422,164.1,122.4,115.0,85.0
capture_2026-06-07_14-19-02.yuv422,163.5,124.7,115.0,85.0
capture_2026-06-07_14-20-43.yuv422,163.8,121.9,115.0,85.0
capture_2026-06-07_14-22-41.yuv422,164.0,121.5,115.0,85.0
capture_2026-06-07_15-35-32.yuv422,162.9,129.5,115.0,85.0
capture_2026-06-07_15-41-58.yuv422,154.7,136.6,115.0,85.0
capture_2026-06-07_15-45-15.yuv422,161.0,121.4,115.0,85.0
capture_2026-06-07_15-50-18.yuv422,163.4,120.3,115.0,85.0
