angle, votes, smoothed, continuity, chroma_penalty, effective_cont, temp_c
0, 358, 270.8, 0.1561, 1.0000, 0.1561, 36.7
1, 367, 412.8, 0.1544, 1.0000, 0.1544, 37.0
2, 559, 531.8, 0.1740, 1.0000, 0.1740, 37.3
3, 642, 641.5, 0.1788, 1.0000, 0.1788, 37.6
4, 723, 701.0, 0.1847, 1.0000, 0.1847, 37.9
5, 716, 709.2, 0.2000, 1.0000, 0.2000, 38.1
6, 682, 651.5, 0.2233, 1.0000, 0.2233, 38.4
7, 526, 543.8, 0.1783, 1.0000, 0.1783, 38.7
8, 441, 468.0, 0.1745, 1.0000, 0.1745, 39.0
9, 464, 511.2, 0.2029, 1.0000, 0.2029, 39.3
10, 676, 553.0, 0.2227, 1.0000, 0.2227, 39.6
11, 396, 397.0, 0.1588, 1.0000, 0.1588, 39.9
12, 120, 179.2, 0.1416, 1.0000, 0.1416, 40.2
13, 81, 90.2, 0.1461, 1.0000, 0.1461, 40.5
14, 79, 76.8, 0.1353, 1.0000, 0.1353, 40.8
15, 68, 63.5, 0.1351, 1.0000, 0.1351, 41.1
16, 39, 53.8, 0.1431, 1.0000, 0.1431, 41.4
17, 69, 68.5, 0.1402, 1.0000, 0.1402, 41.7
18, 97, 101.8, 0.1412, 1.0000, 0.1412, 42.0
19, 144, 144.2, 0.1437, 1.0000, 0.1437, 42.3
20, 192, 180.0, 0.1525, 1.0000, 0.1525, 42.6
21, 192, 200.0, 0.1671, 1.0000, 0.1671, 42.9
22, 224, 250.2, 0.1617, 1.0000, 0.1617, 43.2
23, 361, 328.8, 0.1589, 1.0000, 0.1589, 43.5
24, 369, 382.8, 0.1602, 1.0000, 0.1602, 43.8
25, 432, 411.5, 0.1669, 1.0000, 0.1669, 44.1
26, 413, 409.2, 0.1842, 1.0000, 0.1842, 44.4
27, 379, 481.8, 0.1903, 1.0000, 0.1903, 44.7
28, 756, 753.0, 0.1825, 1.0000, 0.1825, 45.0
29, 1121, 1027.2, 0.2377, 1.0000, 0.2377, 45.3
30, 1111, 1050.0, 0.2531, 1.0000, 0.2531, 45.6
31, 857, 953.8, 0.2505, 1.0000, 0.2505, 45.9
32, 990, 1068.5, 0.2374, 1.0000, 0.2374, 46.1
33, 1437, 1198.0, 0.2706, 1.0000, 0.2706, 46.4
34, 928, 957.8, 0.2598, 1.0000, 0.2598, 46.7
35, 538, 673.5, 0.2216, 1.0000, 0.2216, 47.0
36, 690, 648.8, 0.2599, 1.0000, 0.2599, 47.3
37, 677, 694.2, 0.2484, 1.0000, 0.2484, 47.6
38, 733, 603.5, 0.1979, 1.0000, 0.1979, 47.9
39, 271, 377.8, 0.1758, 1.0000, 0.1758, 48.2
40, 236, 238.2, 0.1703, 1.0000, 0.1703, 48.5
41, 210, 231.2, 0.1892, 1.0000, 0.1892, 48.8
42, 269, 287.8, 0.2000, 1.0000, 0.2000, 49.1
43, 403, 366.2, 0.1818, 1.0000, 0.1818, 49.4
44, 390, 427.0, 0.2046, 1.0000, 0.2046, 49.7
45, 525, 464.2, 0.1998, 1.0000, 0.1998, 50.0
46, 417, 437.8, 0.1900, 1.0000, 0.1900, 50.3
47, 392, 387.5, 0.1928, 1.0000, 0.1928, 50.6
48, 349, 365.8, 0.1858, 1.0000, 0.1858, 50.9
49, 373, 367.8, 0.2071, 1.0000, 0.2071, 51.2
50, 376, 388.8, 0.2185, 1.0000, 0.2185, 51.5
51, 430, 403.2, 0.2187, 1.0000, 0.2187, 51.8
52, 377, 465.8, 0.2184, 1.0000, 0.2184, 52.1
53, 679, 714.0, 0.2110, 1.0000, 0.2110, 52.4
54, 1121, 1071.8, 0.2115, 1.0000, 0.2115, 52.7
55, 1366, 1385.0, 0.2913, 1.0000, 0.2913, 53.0
56, 1687, 1582.5, 0.2852, 1.0000, 0.2852, 53.3
57, 1590, 1536.8, 0.2846, 1.0000, 0.2846, 53.6
58, 1280, 1397.8, 0.2953, 1.0000, 0.2953, 53.9
59, 1441, 1456.0, 0.3080, 1.0000, 0.3080, 54.1
60, 1662, 1756.2, 0.3178, 1.0000, 0.3178, 54.4
61, 2260, 1949.8, 0.3827, 1.0000, 0.3827, 54.7
62, 1617, 1866.8, 0.3977, 1.0000, 0.3977, 55.0
63, 1973, 1763.5, 0.3516, 1.0000, 0.3516, 55.3
64, 1491, 1693.2, 0.3021, 1.0000, 0.3021, 55.6
65, 1818, 1699.0, 0.2853, 1.0000, 0.2853, 55.9
66, 1669, 1871.5, 0.3674, 1.0000, 0.3674, 56.2
67, 2330, 1959.8, 0.3358, 1.0000, 0.3358, 56.5
68, 1510, 1636.0, 0.2885, 1.0000, 0.2885, 56.8
69, 1194, 1315.2, 0.2734, 1.0000, 0.2734, 57.1
70, 1363, 1331.2, 0.2836, 1.0000, 0.2836, 57.4
71, 1405, 1410.8, 0.2753, 1.0000, 0.2753, 57.7
72, 1470, 1462.5, 0.2798, 1.0000, 0.2798, 58.0
73, 1505, 1487.2, 0.2806, 1.0000, 0.2806, 58.3
74, 1469, 1519.2, 0.2816, 1.0000, 0.2816, 58.6
75, 1634, 1558.2, 0.2699, 1.0000, 0.2699, 58.9
76, 1496, 1529.0, 0.2923, 1.0000, 0.2923, 59.2
77, 1490, 1486.5, 0.2946, 1.0000, 0.2946, 59.5
78, 1470, 1472.5, 0.2718, 1.0000, 0.2718, 59.8
79, 1460, 1461.5, 0.2845, 1.0000, 0.2845, 60.1
80, 1456, 1507.0, 0.2825, 1.0000, 0.2825, 60.4
81, 1656, 1580.5, 0.2570, 1.0000, 0.2570, 60.7
82, 1554, 1589.5, 0.2663, 1.0000, 0.2663, 61.0
83, 1594, 1588.8, 0.2745, 1.0000, 0.2745, 61.3
84, 1613, 1642.8, 0.3293, 1.0000, 0.3293, 61.6
85, 1751, 1756.5, 0.3495, 1.0000, 0.3495, 61.9
86, 1911, 1859.0, 0.3488, 1.0000, 0.3488, 62.1
87, 1863, 1850.8, 0.3561, 1.0000, 0.3561, 62.4
88, 1766, 1790.5, 0.3653, 1.0000, 0.3653, 62.7
89, 1767, 1813.0, 0.3622, 1.0000, 0.3622, 63.0
90, 1952, 1855.5, 0.3350, 1.0000, 0.3350, 63.3
91, 1751, 1863.2, 0.3469, 1.0000, 0.3469, 63.6
92, 1999, 1972.0, 0.4289, 1.0000, 0.4289, 63.9
93, 2139, 2204.5, 0.3962, 1.0000, 0.3962, 64.2
94, 2541, 2376.2, 0.3767, 1.0000, 0.3767, 64.5
95, 2284, 2326.8, 0.3294, 1.0000, 0.3294, 64.8
96, 2198, 2169.0, 0.3181, 1.0000, 0.3181, 65.1
97, 1996, 2079.0, 0.3384, 1.0000, 0.3384, 65.4
98, 2126, 2025.0, 0.3841, 1.0000, 0.3841, 65.7
99, 1852, 1861.8, 0.3550, 1.0000, 0.3550, 66.0
100, 1617, 1729.2, 0.3043, 1.0000, 0.3043, 66.3
101, 1831, 1796.8, 0.3250, 1.0000, 0.3250, 66.6
102, 1908, 1937.5, 0.3655, 1.0000, 0.3655, 66.9
103, 2103, 2018.2, 0.3588, 1.0000, 0.3588, 67.2
104, 1959, 1953.5, 0.3589, 1.0000, 0.3589, 67.5
105, 1793, 1762.0, 0.3207, 1.0000, 0.3207, 67.8
106, 1503, 1546.5, 0.3234, 1.0000, 0.3234, 68.1
107, 1387, 1448.2, 0.3655, 1.0000, 0.3655, 68.4
108, 1516, 1517.8, 0.3290, 1.0000, 0.3290, 68.7
109, 1652, 1530.0, 0.3232, 1.0000, 0.3232, 69.0
110, 1300, 1362.5, 0.2828, 1.0000, 0.2828, 69.3
111, 1198, 1176.0, 0.2903, 1.0000, 0.2903, 69.6
112, 1008, 1032.2, 0.2661, 1.0000, 0.2661, 69.9
113, 915, 926.0, 0.3084, 1.0000, 0.3084, 70.1
114, 866, 870.5, 0.3124, 1.0000, 0.3124, 70.4
115, 835, 839.0, 0.2883, 1.0000, 0.2883, 70.7
116, 820, 799.2, 0.2805, 1.0000, 0.2805, 71.0
117, 722, 743.2, 0.3116, 1.0000, 0.3116, 71.3
118, 709, 706.0, 0.3038, 1.0000, 0.3038, 71.6
119, 684, 653.2, 0.3319, 1.0000, 0.3319, 71.9
120, 536, 598.2, 0.3032, 1.0000, 0.3032, 72.2
121, 637, 590.2, 0.3128, 1.0000, 0.3128, 72.5
122, 551, 575.8, 0.3107, 1.0000, 0.3107, 72.8
123, 564, 512.5, 0.3024, 1.0000, 0.3024, 73.1
124, 371, 421.8, 0.3026, 1.0000, 0.3026, 73.4
125, 381, 391.8, 0.2982, 1.0000, 0.2982, 73.7
126, 434, 398.2, 0.2968, 1.0000, 0.2968, 74.0
127, 344, 357.5, 0.2809, 1.0000, 0.2809, 74.3
128, 308, 305.8, 0.3161, 1.0000, 0.3161, 74.6
129, 263, 283.5, 0.2908, 1.0000, 0.2908, 74.9
130, 300, 372.8, 0.2573, 1.0000, 0.2573, 75.2
131, 628, 658.5, 0.2659, 1.0000, 0.2659, 75.5
132, 1078, 993.2, 0.2783, 1.0000, 0.2783, 75.8
133, 1189, 1208.0, 0.3152, 1.0000, 0.3152, 76.1
134, 1376, 1351.0, 0.3148, 1.0000, 0.3148, 76.4
135, 1463, 1415.5, 0.3567, 1.0000, 0.3567, -30.0
136, 1360, 1476.5, 0.3290, 1.0000, 0.3290, -29.7
137, 1723, 1644.5, 0.3293, 1.0000, 0.3293, -29.4
138, 1772, 1809.2, 0.3132, 1.0000, 0.3132, -29.1
139, 1970, 1860.0, 0.3433, 1.0000, 0.3433, -28.8
140, 1728, 1753.0, 0.3703, 1.0000, 0.3703, -28.5
141, 1586, 1659.8, 0.3676, 1.0000, 0.3676, -28.2
142, 1739, 1718.2, 0.3440, 1.0000, 0.3440, -27.9
143, 1809, 1786.8, 0.3615, 1.0000, 0.3615, -27.6
144, 1790, 1785.0, 0.3414, 1.0000, 0.3414, -27.3
145, 1751, 1629.5, 0.3439, 1.0000, 0.3439, -27.0
146, 1226, 1363.5, 0.2727, 1.0000, 0.2727, -26.7
147, 1251, 1218.0, 0.2907, 1.0000, 0.2907, -26.4
148, 1144, 1213.5, 0.3140, 1.0000, 0.3140, -26.1
149, 1315, 1349.5, 0.3288, 1.0000, 0.3288, -25.9
150, 1624, 1549.0, 0.3219, 1.0000, 0.3219, -25.6
151, 1633, 1559.2, 0.3081, 1.0000, 0.3081, -25.3
152, 1347, 1342.0, 0.2836, 1.0000, 0.2836, -25.0
153, 1041, 1051.8, 0.2967, 1.0000, 0.2967, -24.7
154, 778, 922.2, 0.2956, 1.0000, 0.2956, -24.4
155, 1092, 989.8, 0.2945, 1.0000, 0.2945, -24.1
156, 997, 1087.5, 0.2875, 1.0000, 0.2875, -23.8
157, 1264, 1155.8, 0.2966, 1.0000, 0.2966, -23.5
158, 1098, 1173.2, 0.3096, 1.0000, 0.3096, -23.2
159, 1233, 1213.5, 0.2716, 1.0000, 0.2716, -22.9
160, 1290, 1264.8, 0.2896, 1.0000, 0.2896, -22.6
161, 1246, 1270.8, 0.2819, 1.0000, 0.2819, -22.3
162, 1301, 1267.0, 0.2765, 1.0000, 0.2765, -22.0
163, 1220, 1275.0, 0.2995, 1.0000, 0.2995, -21.7
164, 1359, 1319.8, 0.2362, 1.0000, 0.2362, -21.4
165, 1341, 1322.8, 0.2426, 1.0000, 0.2426, -21.1
166, 1250, 1288.2, 0.2418, 1.0000, 0.2418, -20.8
167, 1312, 1268.0, 0.2654, 1.0000, 0.2654, -20.5
168, 1198, 1214.2, 0.2607, 1.0000, 0.2607, -20.2
169, 1149, 1218.2, 0.2510, 1.0000, 0.2510, -19.9
170, 1377, 1303.2, 0.2466, 1.0000, 0.2466, -19.6
171, 1310, 1352.8, 0.2318, 1.0000, 0.2318, -19.3
172, 1414, 1415.8, 0.2288, 1.0000, 0.2288, -19.0
173, 1525, 1562.8, 0.2360, 1.0000, 0.2360, -18.7
174, 1787, 1738.2, 0.2493, 1.0000, 0.2493, -18.4
175, 1854, 1919.2, 0.2916, 1.0000, 0.2916, -18.1
176, 2182, 2109.0, 0.2469, 1.0000, 0.2469, -17.9
177, 2218, 2281.5, 0.2341, 1.0000, 0.2341, -17.6
178, 2508, 2428.5, 0.2613, 1.0000, 0.2613, -17.3
179, 2480, 2499.5, 0.2480, 1.0000, 0.2480, -17.0
180, 2530, 2541.0, 0.2577, 1.0000, 0.2577, -16.7
181, 2624, 2612.8, 0.2922, 1.0000, 0.2922, -16.4
182, 2673, 2664.0, 0.2928, 1.0000, 0.2928, -16.1
183, 2686, 2683.5, 0.2540, 1.0000, 0.2540, -15.8
184, 2689, 2663.5, 0.2483, 1.0000, 0.2483, -15.5
185, 2590, 2527.8, 0.2747, 1.0000, 0.2747, -15.2
186, 2242, 2247.2, 0.3033, 1.0000, 0.3033, -14.9
187, 1915, 1927.0, 0.2685, 1.0000, 0.2685, -14.6
188, 1636, 1644.8, 0.2177, 1.0000, 0.2177, -14.3
189, 1392, 1420.8, 0.2082, 1.0000, 0.2082, -14.0
190, 1263, 1286.0, 0.2301, 1.0000, 0.2301, -13.7
191, 1226, 1234.8, 0.2403, 1.0000, 0.2403, -13.4
192, 1224, 1209.2, 0.2265, 1.0000, 0.2265, -13.1
193, 1163, 1154.0, 0.2235, 1.0000, 0.2235, -12.8
194, 1066, 1079.5, 0.2272, 1.0000, 0.2272, -12.5
195, 1023, 1064.2, 0.2254, 1.0000, 0.2254, -12.2
196, 1145, 1140.2, 0.2546, 1.0000, 0.2546, -11.9
197, 1248, 1183.5, 0.2417, 1.0000, 0.2417, -11.6
198, 1093, 1127.0, 0.2319, 1.0000, 0.2319, -11.3
199, 1074, 1085.5, 0.2449, 1.0000, 0.2449, -11.0
200, 1101, 1145.2, 0.2995, 1.0000, 0.2995, -10.7
201, 1305, 1176.2, 0.2717, 1.0000, 0.2717, -10.4
202, 994, 1066.8, 0.2308, 1.0000, 0.2308, -10.1
203, 974, 957.5, 0.2613, 1.0000, 0.2613, -9.9
204, 888, 964.8, 0.2685, 1.0000, 0.2685, -9.6
205, 1109, 1013.8, 0.2908, 1.0000, 0.2908, -9.3
206, 949, 941.0, 0.2277, 1.0000, 0.2277, -9.0
207, 757, 858.8, 0.2542, 1.0000, 0.2542, -8.7
208, 972, 881.5, 0.3077, 1.0000, 0.3077, -8.4
209, 825, 965.2, 0.2245, 1.0000, 0.2245, -8.1
210, 1239, 1389.5, 0.2106, 1.0000, 0.2106, -7.8
211, 2255, 1961.8, 0.2465, 1.0000, 0.2465, -7.5
212, 2098, 2094.2, 0.2857, 1.0000, 0.2857, -7.2
213, 1926, 1932.5, 0.2947, 1.0000, 0.2947, -6.9
214, 1780, 1840.0, 0.2501, 1.0000, 0.2501, -6.6
215, 1874, 1967.8, 0.2569, 1.0000, 0.2569, -6.3
216, 2343, 2306.8, 0.2931, 1.0000, 0.2931, -6.0
217, 2667, 2654.2, 0.3319, 1.0000, 0.3319, -5.7
218, 2940, 2797.2, 0.2958, 1.0000, 0.2958, -5.4
219, 2642, 2577.2, 0.3109, 1.0000, 0.3109, -5.1
220, 2085, 2122.2, 0.2569, 1.0000, 0.2569, -4.8
221, 1677, 1850.2, 0.2729, 1.0000, 0.2729, -4.5
222, 1962, 1888.2, 0.2502, 1.0000, 0.2502, -4.2
223, 1952, 1838.2, 0.2700, 1.0000, 0.2700, -3.9
224, 1487, 1591.5, 0.2799, 1.0000, 0.2799, -3.6
225, 1440, 1578.8, 0.2734, 1.0000, 0.2734, -3.3
226, 1948, 1748.0, 0.2824, 1.0000, 0.2824, -3.0
227, 1656, 1703.8, 0.2655, 1.0000, 0.2655, -2.7
228, 1555, 1511.8, 0.2591, 1.0000, 0.2591, -2.4
229, 1281, 1282.0, 0.2062, 1.0000, 0.2062, -2.1
230, 1011, 1059.8, 0.1881, 1.0000, 0.1881, -1.9
231, 936, 916.5, 0.1792, 1.0000, 0.1792, -1.6
232, 783, 754.0, 0.1453, 1.0000, 0.1453, -1.3
233, 514, 588.5, 0.1600, 1.0000, 0.1600, -1.0
234, 543, 489.8, 0.2115, 1.0000, 0.2115, -0.7
235, 359, 400.8, 0.2016, 1.0000, 0.2016, -0.4
236, 342, 345.5, 0.2160, 1.0000, 0.2160, -0.1
237, 339, 349.0, 0.2013, 1.0000, 0.2013, 0.2
238, 376, 362.0, 0.1841, 1.0000, 0.1841, 0.5
239, 357, 327.2, 0.1692, 1.0000, 0.1692, 0.8
240, 219, 213.5, 0.1505, 1.0000, 0.1505, 1.1
241, 59, 92.2, 0.1490, 1.0000, 0.1490, 1.4
242, 32, 41.0, 0.1386, 1.0000, 0.1386, 1.7
243, 41, 38.5, 0.1216, 1.0000, 0.1216, 2.0
244, 40, 42.5, 0.1425, 1.0000, 0.1425, 2.3
245, 49, 52.8, 0.1425, 1.0000, 0.1425, 2.6
246, 73, 68.8, 0.1584, 1.0000, 0.1584, 2.9
247, 80, 78.5, 0.1436, 1.0000, 0.1436, 3.2
248, 81, 84.0, 0.1523, 1.0000, 0.1523, 3.5
249, 94, 89.2, 0.1340, 1.0000, 0.1340, 3.8
250, 88, 101.2, 0.1373, 1.0000, 0.1373, 4.1
251, 135, 141.8, 0.1389, 1.0000, 0.1389, 4.4
252, 209, 209.5, 0.1580, 1.0000, 0.1580, 4.7
253, 285, 282.0, 0.1940, 1.0000, 0.1940, 5.0
254, 349, 328.0, 0.2316, 1.0000, 0.2316, 5.3
255, 329, 344.0, 0.2466, 1.0000, 0.2466, 5.6
256, 369, 368.5, 0.2754, 1.0000, 0.2754, 5.9
257, 407, 408.2, 0.2867, 1.0000, 0.2867, 6.1
258, 450, 470.5, 0.2996, 1.0000, 0.2996, 6.4
259, 575, 553.5, 0.2835, 1.0000, 0.2835, 6.7
260, 614, 644.8, 0.3000, 1.0000, 0.3000, 7.0
261, 776, 809.2, 0.2934, 1.0000, 0.2934, 7.3
262, 1071, 1006.8, 0.3270, 1.0000, 0.3270, 7.6
263, 1109, 1059.0, 0.2757, 1.0000, 0.2757, 7.9
264, 947, 890.5, 0.2658, 1.0000, 0.2658, 8.2
