epochs,hyperRAM (r),hyperRAM (w),hyperRAM (r+w),hyperRAM (r cycles),hyperRAM (w cycles),hyperRAM (cycles),octoFlash (r),octoFlash (w),octoFlash (r+w),octoFlash (r cycles),octoFlash (w cycles),octoFlash (cycles),npuRAM5 (r),npuRAM5 (w),npuRAM5 (r+w),npuRAM5 (r cycles),npuRAM5 (w cycles),npuRAM5 (cycles),npuRAM4 (r),npuRAM4 (w),npuRAM4 (r+w),npuRAM4 (r cycles),npuRAM4 (w cycles),npuRAM4 (cycles),npuRAM3 (r),npuRAM3 (w),npuRAM3 (r+w),npuRAM3 (r cycles),npuRAM3 (w cycles),npuRAM3 (cycles),npuRAM6 (r),npuRAM6 (w),npuRAM6 (r+w),npuRAM6 (r cycles),npuRAM6 (w cycles),npuRAM6 (cycles),cpuRAM2 (r),cpuRAM2 (w),cpuRAM2 (r+w),cpuRAM2 (r cycles),cpuRAM2 (w cycles),cpuRAM2 (cycles),cpuRAM1 (r),cpuRAM1 (w),cpuRAM1 (r+w),cpuRAM1 (r cycles),cpuRAM1 (w cycles),cpuRAM1 (cycles),flexMEM (r),flexMEM (w),flexMEM (r+w),flexMEM (r cycles),flexMEM (w cycles),flexMEM (cycles),bus port 1 (r),bus port 1 (w),bus port 0 (r),bus port 0 (w),epoch OPS,epoch OPS vs total %,epoch compute (cyles),epoch compute (cyles) vs Tot %,max (cycles),max (cycles) vs Tot %,epoch average ATON power (mW),epoch average ATON power vs Tot %,epoch average memory power (mW),epoch average memory power vs Tot %
0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 ,0,0,0,0,0,0,5,0,5,12,0,12,0,150528,150528,0,23520,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602112,0,602112,47040,0,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301058,0.0273125,301058,0.0113786,0,0,0,0
3 ,0,0,0,0,0,0,0,0,0,0,0,0,150528,301056,451584,23520,23520,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301056,150528,0,150528,0.000165522,150528,0.0136562,150528,0.00568925,5.40404,0.00117241,12.7333,0.00229946
4 ,0,0,0,0,0,0,0,0,0,0,0,0,451584,0,451584,47040,0,47040,0,451584,451584,0,47040,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150528,301056,301056,150528,150528,0.000165522,150528,0.0136562,150528,0.00568925,12.8803,0.00279437,26.049,0.0047041
5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,301056,301056,0,23520,23520,451584,0,451584,47040,0,47040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301056,0,150528,301056,0,0,150528,0.0136562,150528,0.00568925,7.06998,0.00153383,21.9988,0.00397268
6 ,0,0,0,0,0,0,0,0,0,0,0,0,301056,0,301056,23520,0,23520,0,150528,150528,0,23520,23520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301056,0,0,150528,150528,0.000165522,150528,0.0136562,150528,0.00568925,7.47621,0.00162196,13.3158,0.00240465
7 ,0,0,0,0,0,0,864,0,864,5184,0,5184,0,401408,401408,0,62720,62720,1204224,0,1204224,188160,0,188160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,401408,1204224,0,22880256,0.0251593,1204224,0.109249,1204224,0.045514,31.8654,0.0553054,6.14068,0.0088714
8 ,0,0,0,0,0,0,2304,0,2304,13824,0,13824,401408,0,401408,62720,0,62720,0,401408,401408,0,62720,62720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401408,403712,0,59006976,0.0648845,401408,0.0364164,401408,0.0151713,47.6572,0.0275713,9.94576,0.00478952
9 ,0,0,0,0,0,0,512,0,512,1020,0,1020,0,200704,200704,0,31360,31360,401408,0,401408,20906,0,20906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401408,0,512,200704,13246464,0.0145659,200704,0.0182082,200704,0.00758567,29.3534,0.00849094,13.877,0.00334133
10 ,0,0,0,0,0,0,1536,0,1536,9216,0,9216,802816,0,802816,125440,0,125440,0,0,0,0,0,0,0,155648,155648,0,0,0,0,0,0,0,0,0,0,1048576,1048576,0,352000,352000,0,0,0,0,0,0,0,0,0,0,0,0,0,1204224,804352,0,42147840,0.0463461,1204224,0.109249,1204224,0.045514,61.2205,0.106254,7.2278,0.010442
